term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf
performed,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,perform,perform,perform,41.9377174339668
organ,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'NN', 'JJ', 'NNS'}",0,organ,organ,org,39.111973531575565
unit,15,2.1901007446342533e-05,15.478643239112063,4,0.000338997880839,NN,{'NN'},0,unit,unit,unit,29.58442402537732
offences,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NNS,{'NNS'},0,offenc,offenc,off,41.9377174339668
genera,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,"{'NN', 'NNS', 'VB'}",0,genera,genera,gener,32.95841441358507
hobbes,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NNS,"{'NN', 'NNS', 'VBZ'}",0,hobb,hobb,hob,22.06279935313617
willingly,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,RB,"{'RB', 'VBP', 'VB'}",0,willingli,will,wil,44.6189504161142
passing,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBG,"{'NN', 'VBG'}",0,pass,pass,pass,49.59838156185835
terminate,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VBP,"{'VBP', 'NN', 'VB'}",0,termin,termin,termin,41.9377174339668
cost,15,2.1901007446342533e-05,15.478643239112063,4,0.000338997880839,NN,"{'VBP', 'NN', 'VBN', 'VB'}",0,cost,cost,cost,29.58442402537732
notes,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NNS,{'NNS'},0,note,note,not,44.6189504161142
conservation,15,2.1901007446342533e-05,15.478643239112063,12,0.000338997880839,NN,{'NN'},0,conserv,conserv,conserv,39.111973531575565
hardness,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'NN', 'JJ'}",0,hard,hard,hard,36.12559870627234
includes,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,VBZ,{'VBZ'},0,includ,includ,includ,44.6189504161142
intercourse,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NN,"{'NN', 'JJ'}",0,intercours,intercours,intercours,22.06279935313617
conventions,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NNS,{'NNS'},0,convent,convent,conv,32.95841441358507
palate,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,"{'VBP', 'NN', 'JJ'}",0,palat,palat,pal,36.12559870627234
prize,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'NN', 'VB'}",0,prize,prize,priz,25.9688587169834
emperours,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,NNS,"{'NN', 'JJ', 'NNS', 'VBZ'}",0,emperour,emperour,empero,29.58442402537732
b,15,2.1901007446342533e-05,15.478643239112063,1,0.000338997880839,NN,"{'VBP', 'NN', 'NNS', 'VBD'}",0,b,b,b,32.95841441358507
advances,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NNS,"{'NNS', 'VBZ'}",0,advanc,advanc,adv,36.12559870627234
marry,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'VBP', 'NN', 'VB'}",0,marri,marri,marry,36.12559870627234
fifth,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,JJ,"{'NN', 'JJ', 'VBZ'}",0,fifth,fifth,fif,49.59838156185835
mighty,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,"{'NN', 'JJ', 'NNS'}",0,mighti,mighti,mighty,54.13213864013286
excess,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,"{'NN', 'JJ', 'VB'}",0,excess,excess,excess,39.111973531575565
questioned,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,question,question,quest,44.6189504161142
antichrist,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,NN,"{'NN', 'JJ'}",0,antichrist,antichrist,antichr,13.031399676568086
restore,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VB,"{'VBP', 'VB'}",0,restor,restor,rest,41.9377174339668
vegetables,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,NNS,{'NNS'},0,veget,veget,veget,44.6189504161142
conjectures,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NNS,"{'NNS', 'VBZ'}",0,conjectur,conjectur,conject,32.95841441358507
nourishment,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NN,"{'NN', 'JJ'}",0,nourish,nourish,nour,41.9377174339668
passage,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NN,{'NN'},0,passag,passag,pass,39.111973531575565
offender,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'NN', 'JJR'}",0,offend,offend,offend,41.9377174339668
tacitly,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,RB,{'RB'},0,tacitli,tacit,tacit,49.59838156185835
libertie,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'VBN', 'NN', 'JJ', 'NNS'}",0,liberti,liberti,liberty,13.031399676568086
regia,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'NN', 'NNS'}",0,regia,regia,reg,44.6189504161142
artificiall,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,JJ,"{'VBP', 'NN', 'JJ'}",0,artificial,artificial,artificial,36.12559870627234
advantageous,15,2.1901007446342533e-05,15.478643239112063,12,0.000338997880839,JJ,{'JJ'},0,advantag,advantag,adv,32.95841441358507
consecrated,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,VBN,"{'JJ', 'VBN', 'VBD'}",0,consecr,consecr,consecr,36.12559870627234
distrust,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'RB', 'VB', 'VBP', 'NN', 'JJ'}",0,distrust,distrust,distrust,47.16884805075463
burdensome,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,JJ,"{'VBN', 'VB', 'VBP', 'NN', 'JJ'}",0,burdensom,burdensom,burdensom,41.9377174339668
permitted,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,permit,permit,permit,47.16884805075463
pressing,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,VBG,"{'NN', 'VBG', 'JJ'}",0,press,press,press,36.12559870627234
undertake,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VB,"{'VBP', 'VB'}",0,undertak,undertak,undertak,47.16884805075463
glorious,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,JJ,{'JJ'},0,gloriou,glorious,glory,41.9377174339668
letter,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,{'NN'},0,letter,letter,let,32.95841441358507
formes,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NNS,"{'NNS', 'VBZ'}",0,form,form,form,36.12559870627234
eating,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,VBG,"{'NN', 'VBG'}",0,eat,eat,eat,36.12559870627234
council,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NN,"{'NN', 'VB'}",0,council,council,council,39.111973531575565
immortall,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,JJ,"{'RB', 'NN', 'JJ', 'VB'}",0,immortal,immortal,immortal,32.95841441358507
speeches,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NNS,{'NNS'},0,speech,speech,speech,41.9377174339668
seventh,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,JJ,"{'NN', 'JJ'}",0,seventh,seventh,seven,41.9377174339668
geneva,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,"{'NN', 'NNS'}",0,geneva,geneva,genev,32.95841441358507
activity,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,{'NN'},0,activ,activ,act,36.12559870627234
portions,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NNS,{'NNS'},0,portion,portion,port,36.12559870627234
suppositions,15,2.1901007446342533e-05,15.478643239112063,12,0.000338997880839,NNS,{'NNS'},0,supposit,supposit,supposit,41.9377174339668
embrace,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VB,"{'VBP', 'NN', 'VB'}",0,embrac,embrac,embrac,44.6189504161142
confession,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,NN,{'NN'},0,confess,confess,confess,47.16884805075463
decay,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'VBP', 'NN', 'VBZ', 'VB'}",0,decay,decay,decay,44.6189504161142
corporeall,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,NN,"{'NN', 'JJ'}",0,corporeal,corporeal,corporeal,29.58442402537732
oppressed,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VBN,"{'JJ', 'VBN', 'VBD'}",0,oppress,oppress,oppress,32.95841441358507
barbarous,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,JJ,{'JJ'},0,barbar,barbar,barb,41.9377174339668
honoured,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,VBN,"{'JJ', 'VBN', 'VBD'}",0,honour,honour,hono,25.9688587169834
cato,15,2.1901007446342533e-05,15.478643239112063,4,0.000338997880839,NN,{'NN'},0,cato,cato,cato,25.9688587169834
building,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'NN', 'VBG'}",0,build,build,build,47.16884805075463
propounded,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,propound,propound,propound,44.6189504161142
denominations,15,2.1901007446342533e-05,15.478643239112063,13,0.000338997880839,NNS,{'NNS'},0,denomin,denomin,denomin,41.9377174339668
fields,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NNS,{'NNS'},0,field,field,field,44.6189504161142
bitter,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,JJ,"{'RB', 'NN', 'JJ', 'VB'}",0,bitter,bitter,bit,41.9377174339668
pernicious,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,JJ,{'JJ'},0,pernici,pernici,pernicy,25.9688587169834
attended,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,attend,attend,attend,36.12559870627234
unclean,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,JJ,{'JJ'},0,unclean,unclean,unc,36.12559870627234
prayers,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NNS,{'NNS'},0,prayer,prayer,pray,29.58442402537732
speculative,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,JJ,"{'VBP', 'JJ'}",0,specul,specul,spec,29.58442402537732
trial,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,{'NN'},0,trial,trial,tri,49.59838156185835
teacher,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NN,{'NN'},0,teacher,teacher,teach,39.111973531575565
determining,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,VBG,"{'NN', 'VBG'}",0,determin,determin,determin,29.58442402537732
trade,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,{'NN'},0,trade,trade,trad,41.9377174339668
discipline,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,NN,"{'NN', 'JJ', 'VB'}",0,disciplin,disciplin,disciplin,39.111973531575565
published,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,publish,publish,publ,39.111973531575565
penalties,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,NNS,{'NNS'},0,penalti,penalti,penal,44.6189504161142
smallest,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,JJS,{'JJS'},0,smallest,smallest,smallest,39.111973531575565
character,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,NN,{'NN'},0,charact,charact,charact,36.12559870627234
upright,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,JJ,{'JJ'},0,upright,upright,upright,36.12559870627234
geometry,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,"{'VBP', 'NN'}",0,geometri,geometri,geometry,41.9377174339668
raising,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBG,"{'NN', 'VBG'}",0,rais,rais,rais,39.111973531575565
forests,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NNS,{'NNS'},0,forest,forest,forest,17.79221201268866
phrase,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NN,{'NN'},0,phrase,phrase,phrase,51.916828827170136
oak,15,2.1901007446342533e-05,15.478643239112063,3,0.000338997880839,NN,{'NN'},0,oak,oak,oak,29.58442402537732
deposed,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBN,"{'JJ', 'VBN', 'VBD'}",0,depos,depos,depos,39.111973531575565
miss,15,2.1901007446342533e-05,15.478643239112063,4,0.000338997880839,VB,"{'VBP', 'JJ', 'NNS', 'VB'}",0,miss,miss,miss,44.6189504161142
thereupon,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,NN,"{'RB', 'VBN', 'VB', 'EX', 'NN', 'JJ', 'IN'}",0,thereupon,thereupon,thereupon,47.16884805075463
looking,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBG,{'VBG'},0,look,look,look,44.6189504161142
monarchical,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,JJ,{'JJ'},0,monarch,monarch,monarch,44.6189504161142
conduce,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBP,"{'VBP', 'NN', 'VBZ', 'VB'}",0,conduc,conduc,conduc,44.6189504161142
showed,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,show,show,show,47.16884805075463
mothers,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,NNS,{'NNS'},0,mother,mother,moth,32.95841441358507
regulating,15,2.1901007446342533e-05,15.478643239112063,10,0.000338997880839,VBG,"{'NN', 'VBG'}",0,regul,regul,reg,49.59838156185835
emperour,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,NN,{'NN'},0,emperour,emperour,empero,22.06279935313617
vicious,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,JJ,{'JJ'},0,viciou,vicious,vicy,39.111973531575565
logic,15,2.1901007446342533e-05,15.478643239112063,5,0.000338997880839,NN,"{'NN', 'JJ', 'VBZ'}",0,logic,logic,log,47.16884805075463
progression,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NN,{'NN'},0,progress,progress,progress,32.95841441358507
copies,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,NNS,{'NNS'},0,copi,copi,cop,32.95841441358507
running,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBG,"{'NN', 'VBG'}",0,run,run,run,54.13213864013286
obligations,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NNS,{'NNS'},0,oblig,oblig,oblig,41.9377174339668
blessed,15,2.1901007446342533e-05,15.478643239112063,7,0.000338997880839,VBD,"{'JJ', 'VBN', 'VBD'}",0,bless,bless,bless,44.6189504161142
wished,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,wish,wish,wish,39.111973531575565
six,15,2.1901007446342533e-05,15.478643239112063,3,0.000338997880839,CD,{'CD'},0,six,six,six,44.6189504161142
competition,15,2.1901007446342533e-05,15.478643239112063,11,0.000338997880839,NN,{'NN'},0,competit,competit,competit,36.12559870627234
rendered,15,2.1901007446342533e-05,15.478643239112063,8,0.000338997880839,VBN,"{'VBN', 'VBD'}",0,render,render,rend,39.111973531575565
resources,15,2.1901007446342533e-05,15.478643239112063,9,0.000338997880839,NNS,{'NNS'},0,resourc,resourc,resourc,32.95841441358507
middle,15,2.1901007446342533e-05,15.478643239112063,6,0.000338997880839,JJ,"{'NN', 'JJ'}",0,middl,middl,middl,44.6189504161142
apparently,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,RB,{'RB'},0,appar,appar,app,44.6189504161142
originals,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,NNS,{'NNS'},0,origin,origin,origin,47.16884805075463
continuall,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NN,"{'NN', 'JJ', 'VB'}",0,continual,continual,continual,41.9377174339668
forgiven,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBN,"{'RB', 'JJ', 'VBN'}",0,forgiven,forgiven,forg,29.58442402537732
resolution,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NN,{'NN'},0,resolut,resolut,resolv,41.9377174339668
decided,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,decid,decid,decid,41.9377174339668
provisions,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,provis,provis,provid,29.58442402537732
embraced,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,embrac,embrac,embrac,39.111973531575565
enclined,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBN,"{'JJ', 'VBN', 'VBD'}",0,enclin,enclin,enclin,32.95841441358507
apprehensions,14,2.044094028325303e-05,15.578178912662976,13,0.0003184326248755,NNS,{'NNS'},0,apprehens,apprehens,apprehend,39.111973531575565
subdue,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,VB,"{'JJ', 'VBD', 'VB'}",0,subdu,subdu,subdu,44.6189504161142
flight,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NN,{'NN'},0,flight,flight,flight,44.6189504161142
foreigners,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,foreign,foreign,foreign,41.9377174339668
omnipotent,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,JJ,"{'NN', 'JJ'}",0,omnipot,omnipot,omnipot,41.9377174339668
compound,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VB,"{'NN', 'JJ', 'VBD', 'VB'}",0,compound,compound,compound,44.6189504161142
granting,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBG,"{'NN', 'VBG'}",0,grant,grant,grant,51.916828827170136
propose,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VB,"{'VBP', 'VB'}",0,propos,propos,propos,41.9377174339668
clothes,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,NNS,{'NNS'},0,cloth,cloth,cloth,39.111973531575565
contradictions,14,2.044094028325303e-05,15.578178912662976,14,0.0003184326248755,NNS,{'NNS'},0,contradict,contradict,contradict,36.12559870627234
advise,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NN,"{'NN', 'VB'}",0,advis,advis,adv,39.111973531575565
verses,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NNS,"{'NNS', 'VBZ'}",0,vers,vers,vers,44.6189504161142
reflected,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,reflect,reflect,reflect,41.9377174339668
binding,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBG,"{'NN', 'VBG'}",0,bind,bind,bind,47.16884805075463
existences,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,exist,exist,ex,39.111973531575565
chiefs,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NNS,"{'VBZ', 'VBP', 'VB', 'JJ', 'NNS'}",0,chief,chief,chief,13.031399676568086
sanctity,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,NN,{'NN'},0,sanctiti,sanctiti,sanct,41.9377174339668
transfer,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VB,"{'VBP', 'NN', 'VB'}",0,transfer,transfer,transf,36.12559870627234
capacities,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,capac,capac,capac,44.6189504161142
offend,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,VB,"{'VBP', 'JJ', 'VB'}",0,offend,offend,offend,47.16884805075463
profession,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NN,{'NN'},0,profess,profess,profess,44.6189504161142
calamity,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,NN,{'NN'},0,calam,calam,calam,32.95841441358507
stars,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,NNS,{'NNS'},0,star,star,star,44.6189504161142
presented,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,present,present,pres,41.9377174339668
expedient,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,NN,"{'NN', 'JJ'}",0,expedi,expedi,expedy,32.95841441358507
illustrious,14,2.044094028325303e-05,15.578178912662976,11,0.0003184326248755,JJ,{'JJ'},0,illustri,illustri,illustry,32.95841441358507
snow,14,2.044094028325303e-05,15.578178912662976,4,0.0003184326248755,NN,"{'NN', 'JJ'}",0,snow,snow,snow,41.9377174339668
preferring,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NN,"{'NN', 'VBG'}",0,prefer,prefer,prefer,13.031399676568086
seasons,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,NNS,{'NNS'},0,season,season,season,41.9377174339668
frivolous,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,JJ,{'JJ'},0,frivol,frivol,frivol,32.95841441358507
gestures,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,NNS,{'NNS'},0,gestur,gestur,gest,29.58442402537732
applying,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBG,{'VBG'},0,appli,appli,apply,51.916828827170136
prospect,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,NN,"{'NN', 'JJ'}",0,prospect,prospect,prospect,39.111973531575565
relief,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NN,{'NN'},0,relief,relief,reliev,36.12559870627234
seize,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,VB,"{'VBP', 'VB'}",0,seiz,seiz,seiz,39.111973531575565
ranks,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,NNS,{'NNS'},0,rank,rank,rank,39.111973531575565
defending,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,VBG,"{'NN', 'VBG'}",0,defend,defend,defend,39.111973531575565
transferring,14,2.044094028325303e-05,15.578178912662976,12,0.0003184326248755,VBG,"{'NN', 'VBG'}",0,transfer,transfer,transfer,32.95841441358507
restored,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,VBN,"{'JJ', 'VBN', 'VBD'}",0,restor,restor,rest,49.59838156185835
ex,14,2.044094028325303e-05,15.578178912662976,2,0.0003184326248755,FW,"{'VBP', 'NN', 'JJ', 'FW'}",0,ex,ex,ex,41.9377174339668
vanish,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,JJ,"{'VBP', 'JJ', 'VB'}",0,vanish,vanish,van,47.16884805075463
meanest,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,JJS,"{'NN', 'JJS'}",0,meanest,meanest,meanest,44.6189504161142
applies,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBZ,"{'NNS', 'VBZ'}",0,appli,appli,apply,41.9377174339668
depose,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,VB,"{'VBD', 'VB', 'VBP', 'NN', 'JJ'}",0,depos,depos,depos,22.06279935313617
excessive,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,JJ,{'JJ'},0,excess,excess,excess,25.9688587169834
tenets,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,NNS,{'NNS'},0,tenet,tenet,tenet,39.111973531575565
endued,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,VBN,{'VBN'},0,endu,endu,endu,41.9377174339668
minority,14,2.044094028325303e-05,15.578178912662976,8,0.0003184326248755,NN,{'NN'},0,minor,minor,min,25.9688587169834
asia,14,2.044094028325303e-05,15.578178912662976,4,0.0003184326248755,NN,"{'NN', 'VBG', 'JJ'}",0,asia,asia,as,36.12559870627234
patricians,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,patrician,patrician,pat,25.9688587169834
seeks,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,VBZ,"{'VB', 'NN', 'VBZ'}",0,seek,seek,seek,44.6189504161142
arbitrarily,14,2.044094028325303e-05,15.578178912662976,11,0.0003184326248755,RB,{'RB'},0,arbitrarili,arbitrarili,arbit,32.95841441358507
habitation,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NN,{'NN'},0,habit,habit,habit,41.9377174339668
cure,14,2.044094028325303e-05,15.578178912662976,4,0.0003184326248755,NN,"{'NN', 'VB'}",0,cure,cure,cur,41.9377174339668
translation,14,2.044094028325303e-05,15.578178912662976,11,0.0003184326248755,NN,{'NN'},0,translat,translat,transl,32.95841441358507
perform,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VB,"{'VBP', 'VB'}",0,perform,perform,perform,44.6189504161142
ut,14,2.044094028325303e-05,15.578178912662976,2,0.0003184326248755,JJ,{'JJ'},0,ut,ut,ut,17.79221201268866
enquire,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VB,{'VB'},0,enquir,enquir,enquir,41.9377174339668
contend,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBP,"{'VBP', 'NN', 'VB'}",0,contend,contend,contend,44.6189504161142
bearing,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBG,"{'NN', 'VBG'}",0,bear,bear,bear,47.16884805075463
rage,14,2.044094028325303e-05,15.578178912662976,4,0.0003184326248755,NN,"{'VBP', 'NN'}",0,rage,rage,rag,29.58442402537732
submitted,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,submit,submit,submit,41.9377174339668
talking,14,2.044094028325303e-05,15.578178912662976,7,0.0003184326248755,VBG,{'VBG'},0,talk,talk,talk,41.9377174339668
potent,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,JJ,"{'NN', 'JJ'}",0,potent,potent,pot,41.9377174339668
urged,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,VBN,"{'VBN', 'VBD'}",0,urg,urg,urg,39.111973531575565
driven,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,VBN,{'VBN'},0,driven,driven,driv,49.59838156185835
throw,14,2.044094028325303e-05,15.578178912662976,5,0.0003184326248755,VB,"{'VBP', 'NN', 'VB'}",0,throw,throw,throw,47.16884805075463
disturbed,14,2.044094028325303e-05,15.578178912662976,9,0.0003184326248755,VBN,"{'NN', 'JJ', 'VBN', 'VBD'}",0,disturb,disturb,disturb,47.16884805075463
pretty,14,2.044094028325303e-05,15.578178912662976,6,0.0003184326248755,RB,"{'RB', 'JJ'}",0,pretti,pretti,pretty,47.16884805075463
tho,14,2.044094028325303e-05,15.578178912662976,3,0.0003184326248755,NN,"{'VBZ', 'VBP', 'VB', 'NN', 'JJ', 'IN'}",0,tho,tho,tho,39.111973531575565
deductions,14,2.044094028325303e-05,15.578178912662976,10,0.0003184326248755,NNS,{'NNS'},0,deduct,deduct,deduc,44.6189504161142
