term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
shal,8,1.1680537304716017e-05,16.385533834720583,4,0.00019139183921414028,JJ,"{'NN', 'JJ', 'VBD'}",0,shal,shal,shal
sabbath,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,"{'NN', 'JJ'}",0,sabbath,sabbath,sabba
ac,8,1.1680537304716017e-05,16.385533834720583,2,0.00019139183921414028,NN,"{'NN', 'JJ'}",0,ac,ac,ac
threaten,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,VBP,"{'VBP', 'IN', 'VBD', 'VB'}",0,threaten,threaten,threaten
declareth,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,VBZ,{'VBZ'},0,declareth,declareth,declare
curiæ,8,1.1680537304716017e-05,16.385533834720583,5,0.00019139183921414028,NN,{'NN'},0,curiæ,curiæ,curiæ
renounced,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,VBN,"{'VBN', 'VBD'}",0,renounc,renounc,renount
secretly,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,RB,{'RB'},0,secretli,secret,secret
reigning,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,VBG,"{'NN', 'VBG'}",0,reign,reign,reign
impediments,8,1.1680537304716017e-05,16.385533834720583,11,0.00019139183921414028,NNS,{'NNS'},0,impedi,impedi,impedy
magnitude,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,NN,{'NN'},0,magnitud,magnitud,magnitud
subtlety,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,NN,{'NN'},0,subtleti,subtleti,subtl
servius,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,{'NN'},0,serviu,servius,servi
haeretiques,8,1.1680537304716017e-05,16.385533834720583,11,0.00019139183921414028,NNS,"{'PDT', 'NNS', 'VBZ'}",0,haeretiqu,haeretiqu,haeret
affirmative,8,1.1680537304716017e-05,16.385533834720583,11,0.00019139183921414028,JJ,{'JJ'},0,affirm,affirm,affirm
righteous,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,JJ,{'JJ'},0,righteou,righteous,right
behind,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,IN,{'IN'},0,behind,behind,behind
comparisons,8,1.1680537304716017e-05,16.385533834720583,11,0.00019139183921414028,NNS,{'NNS'},0,comparison,comparison,comparison
defenders,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,NNS,{'NNS'},0,defend,defend,defend
samaria,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,"{'NN', 'NNS', 'VB'}",0,samaria,samaria,samar
giants,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,NNS,{'NNS'},0,giant,giant,giant
sphere,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,NN,"{'RB', 'NN', 'JJ'}",0,sphere,sphere,sphere
dog,8,1.1680537304716017e-05,16.385533834720583,3,0.00019139183921414028,NN,{'NN'},0,dog,dog,dog
goeth,8,1.1680537304716017e-05,16.385533834720583,5,0.00019139183921414028,VBZ,"{'NN', 'FW', 'VBZ'}",0,goeth,goeth,goe
propensity,8,1.1680537304716017e-05,16.385533834720583,10,0.00019139183921414028,NN,{'NN'},0,propens,propens,propens
smallness,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,NN,{'NN'},0,small,small,smal
scanty,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,JJ,"{'RB', 'NN', 'JJ', 'VB'}",0,scanti,scanti,scanty
recall,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,VB,"{'VBP', 'NN', 'VB'}",0,recal,recal,recal
expounded,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,VBN,"{'VBN', 'VBD'}",0,expound,expound,expound
trials,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,NNS,{'NNS'},0,trial,trial,tri
suppress,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,VB,{'VB'},0,suppress,suppress,suppress
indifferently,8,1.1680537304716017e-05,16.385533834720583,13,0.00019139183921414028,RB,{'RB'},0,indiffer,indiffer,indiff
publican,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,JJ,"{'NN', 'JJ'}",0,publican,publican,publ
forementioned,8,1.1680537304716017e-05,16.385533834720583,13,0.00019139183921414028,JJ,"{'JJ', 'VBN', 'VBD'}",0,forement,forement,for
until,8,1.1680537304716017e-05,16.385533834720583,5,0.00019139183921414028,IN,{'IN'},1,until,until,until
improving,8,1.1680537304716017e-05,16.385533834720583,9,0.00019139183921414028,VBG,"{'NN', 'VBG'}",0,improv,improv,improv
subsequently,8,1.1680537304716017e-05,16.385533834720583,12,0.00019139183921414028,RB,"{'RB', 'VBP'}",0,subsequ,subsequ,subsequ
adhere,8,1.1680537304716017e-05,16.385533834720583,6,0.00019139183921414028,RB,"{'RB', 'JJ', 'VB'}",0,adher,adher,adh
earnest,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,"{'RB', 'NN', 'JJS'}",0,earnest,earnest,earnest
illiterate,8,1.1680537304716017e-05,16.385533834720583,10,0.00019139183921414028,JJ,"{'VBP', 'NN', 'JJ'}",0,illiter,illiter,illit
antioch,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,"{'NN', 'JJ', 'NNS'}",0,antioch,antioch,antioch
paradox,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,{'NN'},0,paradox,paradox,paradox
implies,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,VBZ,"{'NNS', 'VBZ'}",0,impli,impli,imply
alienate,8,1.1680537304716017e-05,16.385533834720583,8,0.00019139183921414028,VB,"{'VBP', 'NN', 'VB'}",0,alien,alien,aly
essay,8,1.1680537304716017e-05,16.385533834720583,5,0.00019139183921414028,NN,{'NN'},0,essay,essay,essay
stomach,8,1.1680537304716017e-05,16.385533834720583,7,0.00019139183921414028,NN,{'NN'},0,stomach,stomach,stomach
lower,8,1.1680537304716017e-05,16.385533834720583,5,0.00019139183921414028,JJR,"{'JJR', 'VB'}",0,lower,lower,low
counsellour,8,1.1680537304716017e-05,16.385533834720583,11,0.00019139183921414028,NN,{'NN'},0,counsellour,counsellour,counsello
sex,8,1.1680537304716017e-05,16.385533834720583,3,0.00019139183921414028,NN,{'NN'},0,sex,sex,sex
throats,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,"{'VBP', 'NNS', 'VBZ'}",0,throat,throat,throats
cutting,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBG,{'VBG'},0,cut,cut,cut
natura,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,{'NN'},0,natura,natura,natur
eminence,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NN,{'NN'},0,emin,emin,emin
fable,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NN,"{'NN', 'JJ'}",0,fabl,fabl,fabl
purchase,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VB,"{'NN', 'VB'}",0,purchas,purchas,purchas
forgive,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VB,{'VB'},0,forgiv,forgiv,forg
recognised,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,VBN,{'VBN'},0,recognis,recognis,recogn
duels,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NNS,{'NNS'},0,duel,duel,duel
printing,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NN,"{'NN', 'VBG'}",0,print,print,print
mistress,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NN,{'NN'},0,mistress,mistress,mistress
enjoying,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,enjoy,enjoy,enjoy
edifice,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'RB', 'NN', 'JJ'}",0,edific,edific,ed
stupidity,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,stupid,stupid,stupid
supplies,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NNS,"{'NNS', 'VBZ'}",0,suppli,suppli,supply
inconsistency,7,1.0220470141626515e-05,16.578178912662977,13,0.0001694367825794143,NN,{'NN'},0,inconsist,inconsist,inconsist
appeals,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,{'NNS'},0,appeal,appeal,ap
merchandise,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NN,{'NN'},0,merchandis,merchandis,merchand
remark,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,VB,"{'VBP', 'NN', 'VB'}",0,remark,remark,remark
arrogance,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,arrog,arrog,arrog
zealous,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,JJ,{'JJ'},0,zealou,zealous,zeal
dropped,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBD,"{'JJ', 'VBN', 'VBD'}",0,drop,drop,drop
workman,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'NN', 'JJ'}",0,workman,workman,workm
serious,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,JJ,{'JJ'},0,seriou,serious,sery
warm,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,JJ,"{'NN', 'JJ', 'VB'}",0,warm,warm,warm
mechanical,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,JJ,{'JJ'},0,mechan,mechan,mech
continuity,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NN,{'NN'},0,continu,continu,continu
monstrous,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,{'JJ'},0,monstrou,monstrous,monst
delicate,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,JJ,"{'JJ', 'VB'}",0,delic,delic,del
professions,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NNS,{'NNS'},0,profess,profess,profess
disproportionate,7,1.0220470141626515e-05,16.578178912662977,16,0.0001694367825794143,JJ,"{'VBP', 'NN', 'JJ'}",0,disproportion,disproportion,disproport
telling,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBG,{'VBG'},0,tell,tell,tel
grants,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,VBZ,"{'NNS', 'VBZ'}",0,grant,grant,grant
inexhaustible,7,1.0220470141626515e-05,16.578178912662977,13,0.0001694367825794143,JJ,{'JJ'},0,inexhaust,inexhaust,inexhaust
coat,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,{'NN'},0,coat,coat,coat
resulting,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,result,result,result
milk,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,"{'NN', 'VB'}",0,milk,milk,milk
rests,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NNS,"{'NNS', 'VBZ'}",0,rest,rest,rest
remorse,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'NN', 'VBN', 'VB'}",0,remors,remors,remors
caligula,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NN,"{'VBP', 'NN', 'FW'}",0,caligula,caligula,caligul
excepting,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,VBG,{'VBG'},0,except,except,exceiv
confounding,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,VBG,{'VBG'},0,confound,confound,confound
rash,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,"{'NN', 'JJ', 'VB'}",0,rash,rash,rash
surrounded,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,VBN,{'VBN'},0,surround,surround,surround
deducible,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,deduc,deduc,deduc
swords,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NNS,{'NNS'},0,sword,sword,sword
shelter,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'NN', 'VB'}",0,shelter,shelter,shelt
substantives,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,NNS,{'NNS'},0,substant,substant,subst
apprehended,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,VBN,"{'JJ', 'VBN'}",0,apprehend,apprehend,apprehend
explains,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBZ,"{'NNS', 'VBZ'}",0,explain,explain,explain
scene,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NN,{'NN'},0,scene,scene,scen
abstracted,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,VBN,"{'JJ', 'VBN', 'VBD'}",0,abstract,abstract,abstract
morrow,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,VB,"{'NN', 'VB'}",0,morrow,morrow,morrow
tyrannical,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,JJ,{'JJ'},0,tyrann,tyrann,tyran
trample,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VB,"{'VBP', 'NN', 'JJ', 'VB'}",0,trampl,trampl,trampl
vital,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,JJ,{'JJ'},0,vital,vital,vit
despise,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VB,"{'VBP', 'NN', 'VB'}",0,despis,despis,desp
gesture,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,{'NN'},0,gestur,gestur,gest
niouph,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,JJ,"{'VBP', 'NN', 'JJ', 'IN'}",0,niouph,niouph,niouph
null,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,null,null,nul
deserved,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBN,"{'VBN', 'VBD'}",0,deserv,deserv,deserv
dictate,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'VBP', 'NN', 'VB'}",0,dictat,dictat,dict
inferences,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NNS,{'NNS'},0,infer,infer,inf
agreements,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NNS,{'NNS'},0,agreement,agreement,agr
robbers,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,{'NNS'},0,robber,robber,rob
preceding,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,"{'NN', 'VBG', 'JJ'}",0,preced,preced,prec
comparative,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,compar,compar,comp
minutes,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,{'NNS'},0,minut,minut,minut
repugnance,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NN,"{'NN', 'VB'}",0,repugn,repugn,repugn
furthermore,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NN,"{'RB', 'NN', 'VBD', 'RBR'}",0,furthermor,furthermor,furtherm
grammar,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,{'NN'},0,grammar,grammar,gramm
indolent,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,indol,indol,indol
coloured,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,JJ,"{'JJ', 'VBN'}",0,colour,colour,colo
hair,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,{'NN'},0,hair,hair,hair
opportunities,7,1.0220470141626515e-05,16.578178912662977,13,0.0001694367825794143,NNS,{'NNS'},0,opportun,opportun,opportun
preceded,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBD,"{'VBN', 'VBD'}",0,preced,preced,prec
deluge,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,"{'NN', 'VBZ'}",0,delug,delug,delug
numberless,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,numberless,numberless,numberless
conformation,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,NN,{'NN'},0,conform,conform,conform
acorns,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NNS,{'NNS'},0,acorn,acorn,acorn
league,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,{'NN'},0,leagu,leagu,leagu
academy,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'VBP', 'NN'}",0,academi,academi,academy
amusement,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,amus,amus,amus
hemlock,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,{'NN'},0,hemlock,hemlock,hemlock
likeness,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NN,{'NN'},0,like,like,lik
joint,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,JJ,{'JJ'},0,joint,joint,joint
promote,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VB,"{'VBP', 'VB'}",0,promot,promot,promot
decompounded,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,VBD,"{'VBN', 'VBD'}",0,decompound,decompound,decompound
vengeance,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,vengeanc,vengeanc,veng
precaution,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NN,{'NN'},0,precaut,precaut,precaut
bigness,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'NN', 'JJ'}",0,big,big,big
centaur,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,{'NN'},0,centaur,centaur,centa
continence,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NN,{'NN'},0,contin,contin,contin
novelty,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,{'NN'},0,novelti,novelti,novel
hunting,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,hunt,hunt,hunt
instructions,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,NNS,{'NNS'},0,instruct,instruct,instruct
harsh,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,harsh,harsh,harsh
labouring,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,labour,labour,labo
privation,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,privat,privat,priv
management,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,NN,{'NN'},0,manag,manag,man
gaining,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,gain,gain,gain
advancement,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NN,{'NN'},0,advanc,advanc,adv
conceal,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VB,"{'VBP', 'NN', 'VB'}",0,conceal,conceal,cont
market,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,{'NN'},0,market,market,market
fountains,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NNS,"{'NNS', 'VBZ'}",0,fountain,fountain,fountain
removes,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBZ,"{'NNS', 'VBZ'}",0,remov,remov,remov
sand,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,{'NN'},0,sand,sand,sand
perfections,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NNS,{'NNS'},0,perfect,perfect,perfect
shared,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,VBN,"{'VBN', 'VBD'}",0,share,share,shar
tormented,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,VBN,{'VBN'},0,torment,torment,tor
transient,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'VBP', 'NN', 'JJ'}",0,transient,transient,transy
developments,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,NNS,{'NNS'},0,develop,develop,develop
pretending,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,VBG,{'VBG'},0,pretend,pretend,pretend
disappear,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'VBP', 'NN', 'JJ', 'VB'}",0,disappear,disappear,disappear
devised,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,VBN,"{'JJ', 'VBN', 'VBD'}",0,devis,devis,dev
scholars,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NNS,{'NNS'},0,scholar,scholar,scholars
breasts,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,{'NNS'},0,breast,breast,breast
scandalous,7,1.0220470141626515e-05,16.578178912662977,10,0.0001694367825794143,JJ,{'JJ'},0,scandal,scandal,scand
islands,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,"{'NNS', 'VBZ'}",0,island,island,island
weighty,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,JJ,"{'RB', 'NN', 'JJ', 'VBP'}",0,weighti,weighti,weighty
brutish,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,brutish,brutish,brut
informs,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,"{'VBP', 'NNS', 'VBZ'}",0,inform,inform,inform
revenues,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NNS,{'NNS'},0,revenu,revenu,revenu
encouragement,7,1.0220470141626515e-05,16.578178912662977,13,0.0001694367825794143,NN,{'NN'},0,encourag,encourag,enco
construction,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,NN,{'NN'},0,construct,construct,construct
insolence,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,{'NN'},0,insol,insol,insol
cite,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,VB,"{'VBP', 'JJ', 'VB'}",0,cite,cite,cit
palfrey,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'NN', 'JJ'}",0,palfrey,palfrey,palfrey
adversaries,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NNS,{'NNS'},0,adversari,adversari,advers
attacked,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBN,"{'VBN', 'VBD'}",0,attack,attack,attack
privative,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,priv,privat,priv
lessons,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NNS,{'NNS'},0,lesson,lesson,lesson
unanimous,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,{'JJ'},0,unanim,unanim,unanim
lesson,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,"{'NN', 'VBZ'}",0,lesson,lesson,lesson
glance,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,{'NN'},0,glanc,glanc,glant
warriors,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,NNS,{'NNS'},0,warrior,warrior,warry
injure,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,VB,"{'VBZ', 'VB'}",0,injur,injur,ind
egoism,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,{'NN'},0,egoism,egoism,ego
eloquent,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,JJ,"{'NN', 'JJ', 'VB'}",0,eloqu,eloqu,eloqu
contracting,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NN,"{'NN', 'VBG'}",0,contract,contract,contract
exquisite,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'RB', 'NN', 'JJ'}",0,exquisit,exquisit,exquisit
metals,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NNS,{'NNS'},0,metal,metal,met
william,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'VBD', 'PRP', 'NN', 'JJ', 'WP', 'VBG'}",0,william,william,william
proofe,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,NN,"{'NN', 'JJ'}",0,proof,proof,proof
vehement,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,vehement,vehement,veh
pleaseth,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBZ,"{'NNS', 'VBD', 'VBZ'}",0,pleaseth,pleaseth,please
magisteriall,7,1.0220470141626515e-05,16.578178912662977,12,0.0001694367825794143,JJ,"{'VBP', 'NN', 'JJ', 'VBN'}",0,magisterial,magisterial,magisterial
deposing,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBG,"{'NN', 'VBG'}",0,depos,depos,depos
covetousnesse,7,1.0220470141626515e-05,16.578178912662977,13,0.0001694367825794143,NN,"{'VBP', 'NN', 'VB'}",0,covetousness,covetousness,covet
barclay,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,NN,"{'VBP', 'NN'}",0,barclay,barclay,barclay
offensive,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,JJ,"{'NN', 'JJ'}",0,offens,offens,offend
graven,7,1.0220470141626515e-05,16.578178912662977,6,0.0001694367825794143,JJ,"{'NN', 'JJ', 'VBN'}",0,graven,graven,grav
contraction,7,1.0220470141626515e-05,16.578178912662977,11,0.0001694367825794143,NN,{'NN'},0,contract,contract,contract
whereunto,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NN,"{'NN', 'IN', 'WDT'}",0,whereunto,whereunto,whereunto
scorn,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NN,"{'NN', 'JJ', 'VB'}",0,scorn,scorn,scorn
atque,7,1.0220470141626515e-05,16.578178912662977,5,0.0001694367825794143,NN,{'NN'},0,atqu,atqu,atqu
presents,7,1.0220470141626515e-05,16.578178912662977,8,0.0001694367825794143,VBZ,"{'NNS', 'VBZ'}",0,present,present,pres
healthy,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,JJ,{'JJ'},0,healthi,healthi,healthy
ills,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NNS,"{'NNS', 'VB'}",0,ill,ill,il
councells,7,1.0220470141626515e-05,16.578178912662977,9,0.0001694367825794143,NNS,"{'NNS', 'VBZ'}",0,councel,councel,councel
aire,7,1.0220470141626515e-05,16.578178912662977,4,0.0001694367825794143,NN,"{'VBP', 'NN', 'JJ'}",0,air,air,air
blindly,7,1.0220470141626515e-05,16.578178912662977,7,0.0001694367825794143,RB,{'RB'},0,blindli,blind,blind
